path,kind,bytes,loc
docs/PHASE_3_IMPLEMENTATION_LOG.md,.md,11624,515
docs/PRODUCTION_DEPLOYMENT_GUIDE.md,.md,20664,902
docs/PRODUCTION_DEPLOYMENT_PLAN.md,.md,13599,525
docs/PRODUCTION_READINESS_CHECKLIST.md,.md,13914,531
docs/PRODUCTION_STATUS_SUMMARY.md,.md,11191,345
docs/QUICK_REFERENCE.md,.md,5954,312
docs/QUICK_START.md,.md,6014,345
docs/README_SECURITY_FIX.md,.md,4506,145
docs/RECOMMENDATIONS_IMPLEMENTED.md,.md,4873,177
docs/REFERENCES.md,.md,3938,158
docs/SCAN_SCREEN_INTEGRATION_EXAMPLE.md,.md,9140,374
docs/SECURITY_REMEDIATION_STEPS.md,.md,8099,325
docs/SQL_SERVER_SETUP_GUIDE.md,.md,7796,365
docs/SQL_SETUP_INDEX.md,.md,6489,273
docs/SQL_SETUP_QUICK_REFERENCE.txt,.txt,8283,141
docs/SRS.md,.md,9803,179
docs/STARTUP_GUIDE.md,.md,3502,147
docs/START_HERE.md,.md,10424,418
docs/STOCK_VERIFY_2.1_cursor_rules.md,.md,2329,90
docs/STUDY_GUIDE_AGENTS_AND_VSCODE.md,.md,2207,71
docs/TECHNICAL_SPECIFICATION.md,.md,10541,480
docs/THEME_SYSTEM_V2.md,.md,7687,313
docs/UI_MIGRATION_PLAN.md,.md,4863,114
docs/UPGRADE_IMPLEMENTATION_LOG.md,.md,10148,432
docs/USER_REQUIREMENTS_REPORT.md,.md,3315,52
docs/VIBE_CODING_WORKFLOW.md,.md,13077,373
docs/archive/old_docs/ADDITIONAL_OPTIMIZATIONS.md,.md,4906,214
docs/archive/old_docs/ADMIN_WEB_UI_GUIDE.txt,.txt,1874,80
docs/archive/old_docs/ADVANCED_DASHBOARD_FEATURES.md,.md,9469,351
docs/archive/old_docs/ANALYSIS_REPORT.md,.md,3306,149
docs/archive/old_docs/API_BACKEND_UPGRADE_SUMMARY.md,.md,6800,266
docs/archive/old_docs/API_CONTRACTS.md,.md,4975,275
docs/archive/old_docs/API_REFERENCE.md,.md,18839,822
docs/archive/old_docs/ARCHITECTURE.md,.md,5102,149
docs/archive/old_docs/ARCHITECTURE_CORRECTED.md,.md,12538,442
docs/archive/old_docs/AUTO_COMMIT_GUIDE.md,.md,5521,262
docs/archive/old_docs/AWESOME_CURSORRULES_EXPLORATION.md,.md,9754,418
docs/archive/old_docs/CODEBASE_ANALYSIS.md,.md,38802,1250
docs/archive/old_docs/CODING_STANDARDS.md,.md,10196,454
docs/archive/old_docs/COMPREHENSIVE_TODO_PLAN.md,.md,45287,1994
docs/archive/old_docs/CREDENTIALS.md,.md,694,38
